Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
53,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 10u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,158,248167,248167,4194304,256,0,0,12,24,58944,0x7fc11282d700,0x7fc01219bc80,524288,19527287,2187038632,477232964674169,477232964632583,477232966199469,477232966211656
54,"void benchmark_func<double, 256, 8u, 10u>(double, double*) [clone .kd]",0,0,161,248167,248167,4194304,256,0,0,12,24,60160,0x7fc114adc580,0x7fc01219bcc0,524288,18774846,2102744576,477232966239226,477232966199469,477232967745716,477232967757753
55,"void benchmark_func<__half2, 256, 8u, 10u>(__half2, __half2*) [clone .kd]",0,0,164,248167,248167,4194304,256,0,0,8,24,61376,0x7fc114adc400,0x7fc01219bd00,524288,28503566,3192389820,477232967786062,477232967745716,477232969242683,477232969256211
56,"void benchmark_func<int, 256, 8u, 10u>(int, int*) [clone .kd]",0,0,167,248167,248167,4194304,256,0,0,12,24,62848,0x7fc114adc280,0x7fc01219bd40,524288,29584221,3313395900,477232969284380,477232969242683,477232970770689,477232970783128
57,"void benchmark_func<float, 256, 8u, 11u>(float, float*) [clone .kd]",0,0,170,248167,248167,4194304,256,0,0,12,24,63808,0x7fc114adc100,0x7fc01219bd80,524288,28552958,3197910620,477232970818887,477232970770689,477232972261576,477232972276576
58,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 11u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,173,248167,248167,4194304,256,0,0,12,24,65024,0x7fc11282df80,0x7fc01219bdc0,524288,19462141,2179718132,477232972303985,477232972261576,477232973825903,477232973842912
59,"void benchmark_func<double, 256, 8u, 11u>(double, double*) [clone .kd]",0,0,176,248167,248167,4194304,256,0,0,12,24,66240,0x7fc11282de00,0x7fc01219be00,524288,19462561,2179783036,477232973867512,477232973825903,477232975397590,477232975410148
60,"void benchmark_func<__half2, 256, 8u, 11u>(__half2, __half2*) [clone .kd]",0,0,179,248167,248167,4194304,256,0,0,8,24,67456,0x7fc11282dc80,0x7fc01219be40,524288,28712384,3215763964,477232975436178,477232975397590,477232976896476,477232976909376
61,"void benchmark_func<int, 256, 8u, 11u>(int, int*) [clone .kd]",0,0,182,248167,248167,4194304,256,0,0,12,24,68928,0x7fc11282db00,0x7fc01219be80,524288,29843180,3342444324,477232976937096,477232976896476,477232978415523,477232978427784
62,"void benchmark_func<float, 256, 8u, 12u>(float, float*) [clone .kd]",0,0,185,248167,248167,4194304,256,0,0,12,24,70144,0x7fc11282d980,0x7fc01219bec0,524288,28006323,3136654780,477232978463433,477232978415523,477232979905609,477232979917981
63,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 12u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,188,248167,248167,4194304,256,0,0,12,24,71616,0x7fc11282d800,0x7fc01219bf00,524288,18668516,2090798412,477232979946561,477232979905609,477232981451696,477232981464078
64,"void benchmark_func<double, 256, 8u, 12u>(double, double*) [clone .kd]",0,0,191,248167,248167,4194304,256,0,0,12,24,72832,0x7fc11282d680,0x7fc01219bf40,524288,19134122,2142987768,477232981494248,477232981451696,477232983005463,477232983022785
65,"void benchmark_func<__half2, 256, 8u, 12u>(__half2, __half2*) [clone .kd]",0,0,194,248167,248167,4194304,256,0,0,8,24,74048,0x7fc114adc500,0x7fc01219bf80,524288,31262196,3501330176,477232983044244,477232983005463,477232984529630,477232984544602
66,"void benchmark_func<int, 256, 8u, 12u>(int, int*) [clone .kd]",0,0,197,248167,248167,4194304,256,0,0,12,24,75776,0x7fc114adc380,0x7fc01219bfc0,524288,30037656,3364178632,477232984570421,477232984529630,477232986052836,477232986064969
67,"void benchmark_func<float, 256, 8u, 13u>(float, float*) [clone .kd]",0,0,200,248167,248167,4194304,256,0,0,12,24,76992,0x7fc114adc200,0x7fc01219c000,524288,28455977,3187066976,477232986099899,477232986052836,477232987549963,477232987561757
68,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 13u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,203,248167,248167,4194304,256,0,0,12,24,78464,0x7fc114adc080,0x7fc01219c040,524288,18628024,2086319408,477232987589887,477232987549963,477232989097970,477232989111484
69,"void benchmark_func<double, 256, 8u, 13u>(double, double*) [clone .kd]",0,0,206,248167,248167,4194304,256,0,0,12,24,79936,0x7fc11282df00,0x7fc01219c080,524288,18717535,2096319452,477232989138563,477232989097970,477232990647736,477232990660080
70,"void benchmark_func<__half2, 256, 8u, 13u>(__half2, __half2*) [clone .kd]",0,0,209,248167,248167,4194304,256,0,0,8,24,81408,0x7fc11282dd80,0x7fc01219c0c0,524288,30007071,3360811388,477232990688970,477232990647736,477232992173023,477232992215157
71,"void benchmark_func<int, 256, 8u, 13u>(int, int*) [clone .kd]",0,0,212,248167,248167,4194304,256,0,0,12,24,83136,0x7fc11282dc00,0x7fc01219c100,524288,29887805,3347450228,477232992229257,477232992173023,477232993696230,477232993732884
72,"void benchmark_func<float, 256, 8u, 14u>(float, float*) [clone .kd]",0,0,215,248167,248167,4194304,256,0,0,12,24,84352,0x7fc11282da80,0x7fc01219c140,524288,28782161,3223534964,477232993763604,477232993696230,477232995196076,477232995233652
73,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 14u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,218,248167,248167,4194304,256,0,0,12,24,85824,0x7fc11282d900,0x7fc01219c180,524288,17886687,2003307916,477232995247132,477232995196076,477232996729843,477232996771979
74,"void benchmark_func<double, 256, 8u, 14u>(double, double*) [clone .kd]",0,0,221,248167,248167,4194304,256,0,0,12,24,87296,0x7fc11282d780,0x7fc01219c1c0,524288,19413364,2174277300,477232996785219,477232996729843,477232998293210,477232998329505
75,"void benchmark_func<__half2, 256, 8u, 14u>(__half2, __half2*) [clone .kd]",0,0,224,248167,248167,4194304,256,0,0,12,24,88768,0x7fc11282d600,0x7fc01219c200,524288,30724099,3441066724,477232998342505,477232998293210,477232999818817,477232999860212
76,"void benchmark_func<int, 256, 8u, 14u>(int, int*) [clone .kd]",0,0,227,248167,248167,4194304,256,0,0,12,24,90752,0x7fc114adc480,0x7fc01219c240,524288,29606840,3315980928,477232999873482,477232999818817,477233001340263,477233001376149
77,"void benchmark_func<float, 256, 8u, 15u>(float, float*) [clone .kd]",0,0,230,248167,248167,4194304,256,0,0,12,24,91968,0x7fc114adc300,0x7fc01219c280,524288,29001644,3248146328,477233001398149,477233001340263,477233002840590,477233002879367
78,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 15u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,233,248167,248167,4194304,256,0,0,12,24,93440,0x7fc114adc180,0x7fc01219c2c0,524288,18037906,2020201424,477233002892967,477233002840590,477233004379956,477233004417244
79,"void benchmark_func<double, 256, 8u, 15u>(double, double*) [clone .kd]",0,0,236,248167,248167,4194304,256,0,0,12,24,94912,0x7fc114adc000,0x7fc01219c300,524288,18679859,2092087868,477233004431044,477233004379956,477233005927803,477233005964321
80,"void benchmark_func<__half2, 256, 8u, 15u>(__half2, __half2*) [clone .kd]",0,0,239,248167,248167,4194304,256,0,0,12,24,96384,0x7fc11282de80,0x7fc01219c340,524288,29928808,3352081548,477233005978320,477233005927803,477233007449250,477233007485398
81,"void benchmark_func<int, 256, 8u, 15u>(int, int*) [clone .kd]",0,0,242,248167,248167,4194304,256,0,0,12,24,98368,0x7fc11282dd00,0x7fc01219c380,524288,29921462,3351153196,477233007498188,477233007449219,477233008980105,477233009020065
82,"void benchmark_func<float, 256, 8u, 16u>(float, float*) [clone .kd]",0,0,245,248167,248167,4194304,256,0,0,12,24,99584,0x7fc11282db80,0x7fc01219c3c0,524288,29689757,3325253716,477233009041984,477233008980105,477233010491311,477233010528713
